short_name	long_name	Columnar	Pustular	Smooth
ANAGLYCOLYSIS-PWY	glycolysis III (glucokinase) (ANAGLYCOLYSIS-PWY)	80	694	289
PWY-5081	tryptophan degradation VIII (t (PWY-5081)	0	5	1
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic) (CENTBENZCOA-PWY)	0	7	3
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative) (DHGLUCONATE-PYR-CAT-PWY)	9	113	38
PWY-5742	arginine degradation IX (argin (PWY-5742)	0	7	0
PWY-5667	CDP-diacylglycerol biosynthesis I (PWY-5667)	27	137	57
HEMESYN2-PWY	heme biosynthesis from uroporp (HEMESYN2-PWY)	38	337	194
PWY-6993	nicotine degradation II (PWY-6993)	0	64	0
PWY-4081	glutathione redox reactions I (PWY-4081)	8	35	13
PWY-7195	pyrimidine ribonucleosides salvage III (PWY-7195)	0	24	8
PWY-5344	homocysteine biosynthesis (PWY-5344)	0	61	12
PWY-6603	dicranin biosynthesis (PWY-6603)	2	14	4
PWY-723	alkylnitronates degradation (PWY-723)	8	44	16
PWY-5437	threonine degradation I (PWY-5437)	0	58	11
PWY-66	GDP-L-fucose biosynthesis I (f (PWY-66)	6	83	36
PWY-6313	serotonin degradation (PWY-6313)	20	210	0
PWY0-1334	NADH to cytochrome bd o (PWY0-1334)	0	618	230
PWY-5367	petroselinate biosynthesis (PWY-5367)	28	366	132
PWY-7117	C4 photosynthetic carbon assim (PWY-7117)	38	352	163
PWY-6654	phosphopantothenate biosynthesis III (PWY-6654)	0	54	0
PWY-5147	oleate biosynthesis I (plants) (PWY-5147)	1	1	2
PWY-6943	testosterone and androsterone  (PWY-6943)	2	15	3
PWY-6576	dermatan sulfate degradation (metazoa) (PWY-6576)	12	49	30
PWY-6021	nitrilotriacetate degradation (PWY-6021)	0	4	0
PWY0-1312	acetate formation from acetyl-CoA I (PWY0-1312)	9	55	25
PWY-7142	cyanide detoxification II (PWY-7142)	0	0	9
PWY-7176	UTP and CTP de novo biosynthesis (PWY-7176)	11	149	82
PWY-6610	adenine and adenosine salvage IV (PWY-6610)	5	62	26
PWY-6261	thyroid hormone metabolism II  (PWY-6261)	0	8	5
PWY1F-823	leucopelargonidin and leucocya (PWY1F-823)	3	12	4
PWY-5751	phenylethanol biosynthesis (PWY-5751)	13	122	0
PWY-5686	UMP biosynthesis (PWY-5686)	48	446	204
PWY-6196	serine racemization (PWY-6196)	3	19	7
TRIGLSYN-PWY	triacylglycerol biosynthesis (TRIGLSYN-PWY)	27	88	38
LEUSYN-PWY	leucine biosynthesis (LEUSYN-PWY)	27	352	122
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I (DTDPRHAMSYN-PWY)	35	206	91
PWY-6130	glycerol degradation III (PWY-6130)	0	9	0
PWY0-981	taurine degradation IV (PWY0-981)	0	3	0
PWY-6342	noradrenaline and adrenaline degradation (PWY-6342)	20	202	0
PWY-5472	bisbenzylisoquinoline alkaloid (PWY-5472)	0	0	1
PWY-6970	acetyl-CoA biosynthesis II (NA (PWY-6970)	0	13	6
CRNFORCAT-PWY	creatinine degradation I (CRNFORCAT-PWY)	8	100	33
PWY-5087	glutamate degradation VI (to pyruvate) (PWY-5087)	1	3	4
PHOSPHONOTASE-PWY	2-aminoethylphosphonate degradation I (PHOSPHONOTASE-PWY)	10	35	20
PWY-6281	selenocysteine biosynthesis II (PWY-6281)	8	0	36
PWY-6502	oxidized GTP and dGTP detoxification (PWY-6502)	3	27	8
PWY-735	jasmonic acid biosynthesis (PWY-735)	32	315	95
PWY-5651	tryptophan degradation to 2-am (PWY-5651)	8	41	9
PWY-5973	cis-vaccenate biosynthesis (PWY-5973)	33	430	156
PWY-6478	GDP-D-glycero-alpha-D (PWY-6478)	0	14	4
PWY0-823	arginine degradation III (argi (PWY0-823)	14	63	22
PWY66-373	sucrose degradation V (mammalian) (PWY66-373)	20	155	51
PWY-6535	4-aminobutyrate degradation I (PWY-6535)	0	86	25
PWY-5659	GDP-mannose biosynthesis (PWY-5659)	26	217	95
PWY0-42	2-methylcitrate cycle I (PWY0-42)	0	59	22
PWY-1269	CMP-KDO biosynthesis I (PWY-1269)	17	100	43
PWY-7170	phytochromobilin biosynthesis (PWY-7170)	0	0	1
PROUT-PWY	proline degradation (PROUT-PWY)	16	75	33
PWY-6807	xyloglucan degradation II (exoglucanase) (PWY-6807)	1	39	43
PWY-5101	isoleucine biosynthesis II (PWY-5101)	42	376	162
PWY-5084	2-oxoglutarate decarboxylation (PWY-5084)	28	254	99
PWY-5514	UDP-N-acetyl-D-galactos (PWY-5514)	22	145	70
PWY-6758	hydrogen production II (PWY-6758)	4	64	34
PWY0-1534	hydrogen sulfide biosynthesis (PWY0-1534)	0	4	4
PWY-43	putrescine biosynthesis II (PWY-43)	14	60	21
PWY-4202	arsenate detoxification I (glutaredoxin) (PWY-4202)	0	52	0
PWY-6700	queuosine biosynthesis (PWY-6700)	12	62	30
PWY-6118	glycerol-3-phosphate shuttle (PWY-6118)	5	105	40
PWY-4261	glycerol degradation I (PWY-4261)	10	130	42
PWY-5523	5,6-dimethylbenzimidazole biosynthesis (PWY-5523)	0	42	0
PWY-6386	UDP-N-acetylmuramoyl-pe (PWY-6386)	30	260	116
PWY-5531	chlorophyllide a biosynthesis II (PWY-5531)	40	284	155
PWY-6028	acetoin degradation (PWY-6028)	0	0	49
PWY66-382	mineralocorticoid biosynthesis (PWY66-382)	2	13	2
PWY-3385	choline biosynthesis I (PWY-3385)	0	1	0
GLYCINE-SYN2-PWY	glycine biosynthesis II (GLYCINE-SYN2-PWY)	0	1	0
PWY-6797	6-hydroxymethyl-dihydropterin  (PWY-6797)	0	29	4
PWY0-301	L-ascorbate degradation I (bac (PWY0-301)	0	9	0
PWY-6100	L-carnitine biosynthesis (PWY-6100)	0	3	0
NAD-BIOSYNTHESIS-III	NAD biosynthesis III (NAD-BIOSYNTHESIS-III)	0	8	2
PWY-3941	beta-alanine biosynthesis II (PWY-3941)	0	52	22
PWY-6927	chlorophyll a degradation II (PWY-6927)	0	2	0
PWY-5172	acetyl-CoA biosynthesis III (f (PWY-5172)	0	0	2
PWY-5326	sulfite oxidation IV (PWY-5326)	1	9	1
PWY-4521	arsenite oxidation (respiratory) (PWY-4521)	1	14	2
PWY-5935	tuberculosinol biosynthesis (PWY-5935)	0	0	1
PWY66-387	fatty acid alpha-oxidation II (PWY66-387)	38	351	121
PWY-5194	siroheme biosynthesis (PWY-5194)	7	30	15
PWY-6627	salinosporamide A biosynthesis (PWY-6627)	47	64	29
SERSYN-PWY	serine biosynthesis (SERSYN-PWY)	19	173	67
PWY-4781	phytate degradation II (PWY-4781)	2	1	0
PWY-6842	glutathione-mediated detoxification II (PWY-6842)	33	131	52
PWY-6744	hydrogen production I (PWY-6744)	1	13	3
PWY490-4	asparagine biosynthesis III (t (PWY490-4)	7	109	33
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY)	3	35	7
PWY-761	rhizobactin 1021 biosynthesis (PWY-761)	7	0	0
PWY-6573	chondroitin sulfate degradatio (PWY-6573)	17	81	45
NPGLUCAT-PWY	Entner-Doudoroff pathway II (n (NPGLUCAT-PWY)	40	303	118
PWY-5451	acetone degradation I (to methylglyoxal) (PWY-5451)	6	14	3
PWY-6646	fluoroacetate degradation (PWY-6646)	2	5	1
PWY-1281	sulfoacetaldehyde degradation I (PWY-1281)	0	33	0
PWY-6019	pseudouridine degradation (PWY-6019)	6	26	14
FUCCAT-PWY	fucose degradation (FUCCAT-PWY)	0	38	21
PWY-5022	4-aminobutyrate degradation V (PWY-5022)	63	431	119
PWY-5143	fatty acid activation (PWY-5143)	25	216	77
PWY-5665	vanilla biosynthesis (PWY-5665)	6	10	2
PWY-6681	neurosporaxanthin biosynthesis (PWY-6681)	1	16	13
FAO-PWY	fatty acid beta-oxidation I (FAO-PWY)	80	784	235
PWY-6527	stachyose degradation (PWY-6527)	22	227	109
PWY-2582	brassinosteroid biosynthesis II (PWY-2582)	2	15	2
KDO-LIPASYN-PWY	(KDO)2-lipid A biosynthesis I (KDO-LIPASYN-PWY)	2	6	4
PWY-5041	S-adenosyl-L-methionine cycle II (PWY-5041)	22	200	80
P302-PWY	L-sorbose degradation (P302-PWY)	0	4	3
PWY-6802	salidroside biosynthesis (PWY-6802)	0	133	40
PWY-5287	sanguinarine and macarpine biosynthesis (PWY-5287)	0	16	7
PWY-6123	inosine-5'-phosphate biosynthesis I (PWY-6123)	21	202	86
PWY-5851	demethylmenaquinol-9 biosynthesis (PWY-5851)	2	17	9
PWY-5892	menaquinol-12 biosynthesis (PWY-5892)	11	54	12
PWY-5983	trehalose biosynthesis VI (PWY-5983)	1	14	6
PWY-6328	lysine degradation X (PWY-6328)	1	21	8
HISDEG-PWY	histidine degradation I (HISDEG-PWY)	0	89	40
PWY-6613	tetrahydrofolate salvage from  (PWY-6613)	9	44	20
PWY-2361	3-oxoadipate degradation (PWY-2361)	1	32	6
PWY-6004	glycine betaine biosynthesis V (PWY-6004)	1	32	18
PWY-6682	dehydrophos biosynthesis (PWY-6682)	0	0	1
PWY-882	L-ascorbate biosynthesis I (L- (PWY-882)	20	152	67
GLUTORN-PWY	ornithine biosynthesis (GLUTORN-PWY)	16	225	80
PWY-5782	2-keto-L-gulonate biosynthesis (PWY-5782)	1	15	3
PWY-5739	GDP-alpha-D-perosamine biosynthesis (PWY-5739)	3	50	26
P2-PWY	2'-(5'-phosphoribosyl)-3'-deph (P2-PWY)	0	1	0
GLUCARDEG-PWY	D-glucarate degradation I (GLUCARDEG-PWY)	14	30	14
PWY-6545	pyrimidine deoxyribonucleotide (PWY-6545)	0	373	126
PWY-283	benzoate degradation II (aerob (PWY-283)	0	5	0
PWY66-375	leukotriene biosynthesis (PWY66-375)	16	132	37
PWY-5159	4-hydroxyproline degradation II (PWY-5159)	5	19	2
PWY-5086	chlorophyll a biosynthesis I (PWY-5086)	0	5	5
PYRIDNUCSAL-PWY	NAD salvage pathway I (PYRIDNUCSAL-PWY)	13	223	77
PWY-5849	menaquinol-6 biosynthesis (PWY-5849)	9	38	6
PWY-5698	allantoin degradation to ureid (PWY-5698)	0	0	2
PWY-5384	sucrose degradation IV (PWY-5384)	19	156	60
PWY-6826	phosphatidylcholine biosynthesis VI (PWY-6826)	0	2	2
PWY-7089	taxiphyllin bioactivation (PWY-7089)	9	72	57
PWY-581	indole-3-acetate biosynthesis II (PWY-581)	8	113	40
PWY-6349	CDP-archaeol biosynthesis (PWY-6349)	1	16	8
PWY-5318	calystegine biosynthesis (PWY-5318)	0	0	1
PWY-5741	ethylmalonyl pathway (PWY-5741)	0	212	0
PWY-6999	theophylline degradation (PWY-6999)	0	63	0
PWY-6373	acrylate degradation (PWY-6373)	1	16	5
PWY-621	sucrose degradation III (PWY-621)	20	159	58
PWY-4722	creatinine degradation II (PWY-4722)	9	177	43
PWY-7106	erythromycin D biosynthesis (PWY-7106)	14	26	18
PWY-4621	arsenate detoxification II (gl (PWY-4621)	3	0	13
PWY-6906	chitin derivatives degradation (PWY-6906)	14	39	18
PWY-6710	poly-hydroxy fatty acids biosynthesis (PWY-6710)	0	5	1
PWY-6193	3-chlorocatechol degradation I (PWY-6193)	10	44	14
PWY-5852	demethylmenaquinol-8 biosynthesis I (PWY-5852)	2	20	10
PWY-5944	zeaxanthin biosynthesis (PWY-5944)	1	1	0
PWY-1042	glycolysis IV (plant cytosol) (PWY-1042)	63	612	254
PWY-6620	guanine and guanosine salvage I (PWY-6620)	6	34	14
PWY-6426	uracil degradation II (oxidative) (PWY-6426)	0	1	0
PWY-5290	secologanin and strictosidine  (PWY-5290)	0	0	21
P541-PWY	glycine betaine biosynthesis I (P541-PWY)	0	32	18
PWY-6618	guanine and guanosine salvage III (PWY-6618)	4	0	0
PWYQT-4427	sulfolipid biosynthesis (PWYQT-4427)	0	23	7
PWY-2622	trehalose biosynthesis IV (PWY-2622)	11	89	40
PWY0-1329	succinate to cytochrome bo< (PWY0-1329)	23	154	50
DETOX1-PWY	superoxide radicals degradation (DETOX1-PWY)	11	134	59
TRPCAT-PWY	tryptophan degradation I (via  (TRPCAT-PWY)	8	33	9
PWY-6030	serotonin and melatonin biosynthesis (PWY-6030)	0	18	4
ASPSYNII-PWY	cyanide detoxification I (ASPSYNII-PWY)	0	3	3
PWY-6558	heparan sulfate biosynthesis ( (PWY-6558)	1	2	1
PWY-6390	(S,S)-butanediol biosynthesis (PWY-6390)	0	5	1
FASYN-ELONG-PWY	fatty acid elongation -- saturated (FASYN-ELONG-PWY)	34	394	145
PWY-5103	isoleucine biosynthesis III (PWY-5103)	0	356	153
PWY-5270	morphine biosynthesis (PWY-5270)	0	1	0
P344-PWY	acrylonitrile degradation (P344-PWY)	8	55	17
PWY-6055	dimethylsulfoniopropionate bio (PWY-6055)	7	69	16
PWY-6922	L-Ndelta</sup>-a (PWY-6922)	10	66	27
PWY-6638	sulfolactate degradation III (PWY-6638)	18	113	63
PWY66-301	catecholamine biosynthesis (PWY66-301)	1	0	0
PWY-6268	adenosylcobalamin salvage from cobalamin (PWY-6268)	1	22	16
GLYCOLYSIS	glycolysis I (GLYCOLYSIS)	0	859	340
PWY-3581	(S)-reticuline biosynthesis I (PWY-3581)	0	30	5
PWY-4821	UDP-D-xylose and UDP-D-glucuro (PWY-4821)	29	124	60
PWY-6717	(1,4)-beta-xylan degradation (PWY-6717)	5	15	6
QUINATEDEG-PWY	quinate degradation I (QUINATEDEG-PWY)	0	34	0
PWY-6173	histamine biosynthesis (PWY-6173)	3	0	1
PWY-1741	indole-3-acetyl-ester conjugat (PWY-1741)	0	2	0
PWY-5791	1,4-dihydroxy-2-naphthoate bio (PWY-5791)	35	80	24
PWY-6772	hydrogen production V (PWY-6772)	5	17	4
PWY-5489	methyl parathion degradation (PWY-5489)	2	11	4
PWY-6387	UDP-N-acetylmuramoyl-pe (PWY-6387)	38	302	130
GLUGLNSYN-PWY	glutamate biosynthesis IV (GLUGLNSYN-PWY)	2	25	12
PWY-5277	thiosulfate disproportionation (PWY-5277)	0	7	4
PWY-6596	adenosine nucleotides degradation I (PWY-6596)	27	204	73
P224-PWY	sulfate reduction V (dissimilatory) (P224-PWY)	0	139	70
ARGSPECAT-PWY	spermine biosynthesis (ARGSPECAT-PWY)	4	18	6
PWY-6785	hydrogen production VIII (PWY-6785)	11	45	23
PWY-6670	citronellol degradation (PWY-6670)	0	6	5
PWY-842	starch degradation I (PWY-842)	56	321	140
PWY-5358	tetrathionate reduction I (to  (PWY-5358)	3	2	1
PWY-7180	2'-deoxy-alpha-D-ribose 1-ph (PWY-7180)	8	54	29
PWY-5853	demethylmenaquinol-6 biosynthesis (PWY-5853)	2	17	9
PWY-6190	2,4-dichlorotoluene degradation (PWY-6190)	1	0	0
ALANINE-VALINESYN-PWY	alanine biosynthesis I (ALANINE-VALINESYN-PWY)	29	161	61
PWY-381	nitrate reduction II (assimilatory) (PWY-381)	22	145	0
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate) (PYRIDNUCSYN-PWY)	15	200	98
PWY-6122	5-aminoimidazole ribonucleotid (PWY-6122)	0	0	127
PWY66-381	glucocorticoid biosynthesis (PWY66-381)	2	13	2
PWY-6364	D-myo-inositol (1,3,4)- (PWY-6364)	0	1	0
MALTOSECAT-PWY	maltose degradation (MALTOSECAT-PWY)	0	40	25
PWY-6464	polyvinyl alcohol degradation (PWY-6464)	0	0	2
PWY0-1264	biotin-carboxyl carrier protein assembly (PWY0-1264)	14	150	57
GLUTSYN-PWY	glutamate biosynthesis I (GLUTSYN-PWY)	6	123	59
ARABCAT-PWY	L-arabinose degradation I (ARABCAT-PWY)	9	21	24
PWY-6200	2,4,5-trichlorophenoxyacetate  (PWY-6200)	0	4	2
PWY-6823	molybdenum cofactor biosynthesis (PWY-6823)	22	153	63
PWY-5808	hyperforin and adhyperforin biosynthesis (PWY-5808)	0	3	3
MALATE-ASPARTATE-SHUTTLE-PWY	aspartate degradation II (MALATE-ASPARTATE-SHUTTLE-PWY)	20	171	79
PWY0-1338	polymyxin resistance (PWY0-1338)	5	21	7
PWY-5656	mannosylglycerate biosynthesis I (PWY-5656)	0	1	2
PWY-7187	pyrimidine deoxyribonucleotide (PWY-7187)	28	196	83
LACTOSEUTIL-PWY	lactose degradation II (LACTOSEUTIL-PWY)	2	41	46
PWY0-1182	trehalose degradation II (trehalase) (PWY0-1182)	0	55	29
PWY-6566	chondroitin and dermatan biosynthesis (PWY-6566)	0	1	0
MGLDLCTANA-PWY	methylglyoxal degradation VI (MGLDLCTANA-PWY)	14	161	42
COA-PWY	coenzyme A biosynthesis (COA-PWY)	7	87	52
PWY-5629	isopenicillin N biosynthesis (PWY-5629)	5	1	1
VALSYN-PWY	valine biosynthesis (VALSYN-PWY)	41	356	151
PWY-6134	tyrosine biosynthesis IV (PWY-6134)	4	7	5
PWY-6401	hispidol biosynthesis (PWY-6401)	0	4	3
PWY0-1305	glutamate dependent acid resistance (PWY0-1305)	7	8	6
PWY-6435	4-hydroxybenzoate biosynthesis V (PWY-6435)	33	329	103
PWY-5895	menaquinol-13 biosynthesis (PWY-5895)	11	54	12
PWY-5076	leucine degradation III (PWY-5076)	21	200	61
KDOSYN-PWY	KDO transfer to lipid IVA I (KDOSYN-PWY)	4	19	6
PWY-5669	phosphatidylethanolamine biosynthesis I (PWY-5669)	9	50	12
PWY-5754	4-hydroxybenzoate biosynthesis (PWY-5754)	0	35	0
PWY-6944	androstenedione degradation (PWY-6944)	32	288	104
RUMP-PWY	formaldehyde oxidation I (RUMP-PWY)	0	128	49
PWY-5994	palmitate biosynthesis I (anim (PWY-5994)	53	469	168
PWY-6018	seed germination protein turnover (PWY-6018)	21	115	43
PWY0-1314	fructose degradation (PWY0-1314)	0	2	1
LCYSDEG-PWY	L-cysteine degradation II (LCYSDEG-PWY)	1	11	2
PWY-4061	glutathione-mediated detoxification I (PWY-4061)	33	131	52
PWY-5057	valine degradation II (PWY-5057)	21	200	61
P105-PWY	TCA cycle IV (2-oxoglutarate d (P105-PWY)	0	827	250
PWY-5995	linoleate biosynthesis I (plants) (PWY-5995)	25	198	71
PWY-5079	phenylalanine degradation III (PWY-5079)	12	126	40
PWY-5397	crocetin biosynthesis (PWY-5397)	0	3	0
ARGDEG-V-PWY	arginine degradation X (argini (ARGDEG-V-PWY)	6	53	15
PWY-6416	quinate degradation II (PWY-6416)	0	40	21
HOMOSER-METSYN-PWY	methionine biosynthesis I (HOMOSER-METSYN-PWY)	36	307	135
LIPA-CORESYN-PWY	Lipid A-core biosynthesis (LIPA-CORESYN-PWY)	3	4	1
CO2FORM-PWY	methanogenesis from methanol (CO2FORM-PWY)	0	5	0
PWY-622	starch biosynthesis (PWY-622)	36	287	131
PWY1A0-6325	actinorhodin biosynthesis (PWY1A0-6325)	2	82	44
P483-PWY	phosphonoacetate degradation (P483-PWY)	4	1	1
TRPIAACAT-PWY	tryptophan degradation VII (vi (TRPIAACAT-PWY)	0	5	1
PWY-6499	D-glucarate degradation II (PWY-6499)	10	0	0
PWY-6287	neurosporene biosynthesis (PWY-6287)	0	0	12
LIPASYN-PWY	phospholipases (LIPASYN-PWY)	12	23	6
GLUCONSUPER-PWY	D-gluconate degradation (GLUCONSUPER-PWY)	2	12	6
PWY-6780	hydrogen production VI (PWY-6780)	3	172	77
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (CHLOROPHYLL-SYN)	41	293	173
PWY-6619	adenine and adenosine salvage VI (PWY-6619)	0	21	7
PWY-5695	urate biosynthesis/inosine 5'- (PWY-5695)	30	213	79
LEU-DEG2-PWY	leucine degradation I (LEU-DEG2-PWY)	23	170	64
PWY-5697	allantoin degradation to ureid (PWY-5697)	0	9	2
PWY-3061	menthol biosynthesis (PWY-3061)	0	1	0
PWY3O-19	ubiquinol-6 biosynthesis (eukaryotic) (PWY3O-19)	0	19	11
P23-PWY	reductive TCA cycle I (P23-PWY)	0	0	361
PWY-5138	unsaturated, even numbered fat (PWY-5138)	15	182	52
PWY-6486	D-galacturonate degradation II (PWY-6486)	0	4	0
SAM-PWY	S-adenosyl-L-methionine biosynthesis (SAM-PWY)	9	80	36
PWY-7119	sphingolipid recycling and deg (PWY-7119)	0	6	2
PWY-5067	glycogen biosynthesis II (from (PWY-5067)	13	115	54
TOLUENE-DEG-2-OH-PWY	toluene degradation to 2-oxope (TOLUENE-DEG-2-OH-PWY)	0	1	2
PWY0-1479	tRNA processing (PWY0-1479)	23	231	71
SULFMETII-PWY	sulfate reduction II (assimilatory) (SULFMETII-PWY)	0	112	0
ILEUDEG-PWY	isoleucine degradation I (ILEUDEG-PWY)	38	332	97
PWY4FS-6	phosphatidylethanolamine biosynthesis II (PWY4FS-6)	0	1	0
PWY-4101	sorbitol degradation I (PWY-4101)	0	11	8
PWY-6512	hydrogen oxidation III (anaerobic, NADP) (PWY-6512)	1	13	3
PWY-5499	vitamin B6 degradation (PWY-5499)	4	11	4
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosam (UDPNAGSYN-PWY)	22	187	78
PWY-5789	3-hydroxypropionate/4-hydroxyb (PWY-5789)	173	721	272
PWY-6120	tyrosine biosynthesis III (PWY-6120)	0	52	24
PWY-6515	phloridzin biosynthesis (PWY-6515)	1	0	0
PWY-82	UDP-L-arabinose biosynthesis I (PWY-82)	0	3	0
PWY-6357	phosphate utilization in cell  (PWY-6357)	7	24	9
PWY-282	cuticular wax biosynthesis (PWY-282)	0	1	0
PWY-5097	lysine biosynthesis VI (PWY-5097)	45	284	113
PWY-2463	medicarpin biosynthesis (PWY-2463)	0	3	1
PWY-6894	thiamin diphosphate biosynthes (PWY-6894)	12	69	36
PWY-701	methionine degradation II (PWY-701)	0	9	9
PWY-7181	pyrimidine deoxyribonucleoside (PWY-7181)	8	35	16
PWY-5664	tetrahydrobiopterin biosynthesis II (PWY-5664)	4	80	26
PWY-5934	iron reduction and absorption (PWY-5934)	0	3	2
PWY0-1221	putrescine degradation II (PWY0-1221)	0	12	4
PWY66-389	phytol degradation (PWY66-389)	0	420	149
P21-PWY	pentose phosphate pathway (partial) (P21-PWY)	21	188	78
PWY-5132	humulone biosynthesis (PWY-5132)	0	3	3
PWY-6795	diacylglyceryl-N,N,N-tr (PWY-6795)	0	7	7
ALADEG-PWY	alanine degradation I (ALADEG-PWY)	0	79	0
PWY-5874	heme degradation (PWY-5874)	5	6	1
PWY3O-246	(R,R)-butanediol degradation (PWY3O-246)	0	4	1
P303-PWY	ammonia oxidation II (anaerobic) (P303-PWY)	0	0	3
PWY-6352	3-phosphoinositide biosynthesis (PWY-6352)	0	2	1
CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation (CYCLOHEXANOL-OXIDATION-PWY)	0	23	0
PWY-5966	fatty acid biosynthesis initiation II (PWY-5966)	14	208	68
PWY-6907	thiamin diphosphate biosynthes (PWY-6907)	12	71	31
PWY-6465	omega-hydroxylation of capra (PWY-6465)	2	20	7
GLYSYN-THR-PWY	glycine biosynthesis IV (GLYSYN-THR-PWY)	2	31	15
BGALACT-PWY	lactose degradation III (BGALACT-PWY)	1	39	43
PWY-1781	beta-alanine degradation II (PWY-1781)	0	19	8
PWY-5901	2,3-dihydroxybenzoate biosynthesis (PWY-5901)	27	24	1
PWY-699	brassinosteroid biosynthesis I (PWY-699)	2	15	2
GLYSYN-ALA-PWY	glycine biosynthesis III (GLYSYN-ALA-PWY)	1	24	7
METHANOGENESIS-PWY	methanogenesis from CO2 (METHANOGENESIS-PWY)	3	32	20
PWY-6074	zymosterol biosynthesis (PWY-6074)	0	6	0
PWY-6046	dimethylsulfoniopropionate deg (PWY-6046)	0	2	1
PWY-881	trehalose biosynthesis II (PWY-881)	0	14	0
PWY3O-450	phosphatidylcholine biosynthesis I (PWY3O-450)	0	2	0
PWY0-1337	oleate beta-oxidation (PWY0-1337)	1	30	1
BETA-ALA-DEGRADATION-I-PWY	beta-alanine degradation I (BETA-ALA-DEGRADATION-I-PWY)	4	34	13
PWY-6344	ornithine degradation II (Stic (PWY-6344)	11	72	29
PWY66-221	nicotine degradation III (PWY66-221)	6	10	2
PWY-4984	urea cycle (PWY-4984)	13	192	85
1CMET2-PWY	formylTHF biosynthesis I (1CMET2-PWY)	57	463	211
PWY-4341	glutamate biosynthesis V (PWY-4341)	13	143	58
PWY0-1355	formate to trimethylamine N (PWY0-1355)	0	7	0
PWY-5484	glycolysis II (from fructose-6P) (PWY-5484)	85	0	0
PWY-5755	4-hydroxybenzoate biosynthesis (PWY-5755)	1	2	0
PWY-7046	4-coumarate degradation (anaerobic) (PWY-7046)	13	196	49
PWY-6622	heptadecane biosynthesis (PWY-6622)	2	2	2
PWY-6038	citrate degradation (PWY-6038)	0	24	6
PWY-5509	adenosylcobalamin biosynthesis (PWY-5509)	16	68	46
PWY-5677	succinate fermentation to butyrate (PWY-5677)	0	306	83
PWY-5317	hyoscyamine and scopolamine biosynthesis (PWY-5317)	0	3	0
DISSULFRED-PWY	sulfate reduction IV (dissimilatory) (DISSULFRED-PWY)	0	133	66
PWY-7174	S-methyl-5-thio-alpha (PWY-7174)	0	44	21
PWY-6855	chitin degradation I (archaea) (PWY-6855)	0	20	0
PWY-6307	tryptophan degradation X (mamm (PWY-6307)	12	105	21
PWY0-1261	1,6-anhydro-N-acetylmur (PWY0-1261)	16	33	2
PWY-1501	mandelate degradation I (PWY-1501)	0	14	0
PWY-5350	thiosulfate disproportionation (PWY-5350)	3	57	18
PWY-6815	porphyran degradation (PWY-6815)	0	1	1
PWY-6305	putrescine biosynthesis IV (PWY-6305)	14	81	30
PWY-6992	1,5-anhydrofructose degradation (PWY-6992)	6	10	2
PWY-7164	chlorophyll a degradation III (PWY-7164)	0	2	0
PWY-6575	juvenile hormone III biosynthesis I (PWY-6575)	14	0	44
PWY-6550	carbazole degradation (PWY-6550)	0	2	1
GLYCOCAT-PWY	glycogen degradation I (GLYCOCAT-PWY)	53	303	143
PWY-5674	nitrate reduction IV (dissimilatory) (PWY-5674)	5	17	12
PWY-4601	arsenate reduction (respiratory) (PWY-4601)	1	14	2
PWY66-162	ethanol degradation IV (PWY66-162)	25	315	95
GLUDEG-I-PWY	glutamate degradation III (via (GLUDEG-I-PWY)	16	94	31
PWY-5480	pyruvate fermentation to ethanol I (PWY-5480)	24	167	78
PWY-6318	phenylalanine degradation IV ( (PWY-6318)	24	191	91
PWY-5530	sorbitol biosynthesis II (PWY-5530)	6	39	22
HYDROXYPRODEG-PWY	4-hydroxyproline degradation I (HYDROXYPRODEG-PWY)	7	29	20
PWY-5645	4-chloronitrobenzene degradation (PWY-5645)	0	1	0
PWY-5461	betanidin degradation (PWY-5461)	2	8	5
PWY-5276	sulfite oxidation I (sulfite o (PWY-5276)	2	40	12
PWY-2724	alkane oxidation (PWY-2724)	7	69	16
ARGSYNBSUB-PWY	arginine biosynthesis II (acetyl cycle) (ARGSYNBSUB-PWY)	54	561	253
PWY-1001	cellulose biosynthesis (PWY-1001)	2	10	4
PWY-5517	L-arabinose degradation III (PWY-5517)	1	14	0
PWY-6767	4,4'-diapolycopenedioate biosynthesis (PWY-6767)	0	0	4
PWY-2501	fatty acid alpha-oxidation I (PWY-2501)	7	69	16
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hy (HCAMHPDEG-PWY)	0	3	0
CODH-PWY	reductive acetyl coenzyme A pathway (CODH-PWY)	25	158	75
PWY-4921	protein citrullination (PWY-4921)	0	7	2
PWY-5525	D-glucuronate degradation I (PWY-5525)	0	2	3
PWY-5386	methylglyoxal degradation I (PWY-5386)	15	90	37
PWY-6578	7-keto-8-aminopelargonate bios (PWY-6578)	5	61	20
