PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT
PWY-6549	glutamine biosynthesis III	9	9	71
ARGININE-SYN4-PWY	arginine biosynthesis IV	6	3	11
ARGSYNBSUB-PWY	arginine biosynthesis II (acetyl cycle)	9	7	54
PWY-5041	S-adenosyl-L-methionine cycle II	4	3	22
PWY-702	methionine biosynthesis II	6	5	18
HOMOSER-METSYN-PWY	methionine biosynthesis I	5	5	36
PWY-801	homocysteine and cysteine interconversion	4	3	11
CYSTSYN-PWY	cysteine biosynthesis I	2	2	12
PHESYN	phenylalanine biosynthesis I	3	3	46
CITRULBIO-PWY	citrulline biosynthesis	8	6	112
PWY-6922	L-N<sup>&delta;</sup>-acetylornithine biosynthesis	6	2	10
HOMOSERSYN-PWY	homoserine biosynthesis	3	3	29
GLUTORN-PWY	ornithine biosynthesis	5	5	16
LEUSYN-PWY	leucine biosynthesis	6	5	27
HISTSYN-PWY	histidine biosynthesis	10	8	34
PWY-3982	uracil degradation I (reductive)	3	1	1
PWY-5155	&beta;-alanine biosynthesis III	1	1	2
PWY-6134	tyrosine biosynthesis IV	1	1	4
TYRSYN	tyrosine biosynthesis I	3	3	46
PWY-5101	isoleucine biosynthesis II	8	5	42
ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)	5	5	45
HOMOSER-THRESYN-PWY	threonine biosynthesis from homoserine	2	2	10
DAPLYSINESYN-PWY	lysine biosynthesis I	9	8	46
PWY-5097	lysine biosynthesis VI	7	7	45
PWY-6281	selenocysteine biosynthesis II (archaea and eukaryotes)	4	3	8
PWY0-901	selenocysteine biosynthesis I (bacteria)	3	3	9
TRPSYN-PWY	tryptophan biosynthesis	6	5	24
ALANINE-VALINESYN-PWY	alanine biosynthesis I	3	2	29
PWY0-1021	alanine biosynthesis III	1	1	18
GLUTSYN-PWY	glutamate biosynthesis I	1	1	6
PWY-4341	glutamate biosynthesis V	1	1	13
GLUTSYNIII-PWY	glutamate biosynthesis III	1	1	17
GLUGLNSYN-PWY	glutamate biosynthesis IV	1	1	2
GLUTAMATE-SYN2-PWY	glutamate biosynthesis II	1	1	1
ASPARTATESYN-PWY	aspartate biosynthesis	1	1	18
PWY-4981	proline biosynthesis II (from arginine)	6	2	9
ARG-PRO-PWY	arginine degradation VI (arginase 2 pathway)	4	2	8
PROSYN-PWY	proline biosynthesis I	4	3	17
GLYSYN-THR-PWY	glycine biosynthesis IV	1	1	2
GLYSYN-PWY	glycine biosynthesis I	1	1	8
GLYSYN-ALA-PWY	glycine biosynthesis III	1	1	1
PWY-6700	queuosine biosynthesis	4	2	12
PWY0-1479	tRNA processing	10	10	23
PWY-6123	inosine-5'-phosphate biosynthesis I	6	5	21
PWY-6124	inosine-5'-phosphate biosynthesis II	5	5	21
PWY-6125	guanosine nucleotides de novo biosynthesis	9	6	54
PWY-6126	adenosine nucleotides de novo biosynthesis	8	8	81
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	5	5	42
PWY-6618	guanine and guanosine salvage III	1	1	4
PWY-6620	guanine and guanosine salvage I	2	2	6
PWY-6609	adenine and adenosine salvage III	4	3	18
PWY-6611	adenine and adenosine salvage V	3	3	20
P121-PWY	adenine and adenosine salvage I	2	2	6
PWY-6610	adenine and adenosine salvage IV	3	3	5
SALVPURINE2-PWY	xanthine and xanthosine salvage	2	1	4
PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II	7	6	28
PWY-7176	UTP and CTP de novo biosynthesis	3	3	11
PWY-5686	UMP biosynthesis	6	6	48
PWY-7199	pyrimidine deoxyribonucleosides salvage	5	3	7
PWY-7183	pyrimidine nucleobases salvage I	1	1	7
PWY-7205	CMP phosphorylation	2	2	4
PWY-4983	citrulline-nitric oxide cycle	3	2	9
PPGPPMET-PWY	ppGpp biosynthesis	6	5	27
PWY-6405	Rapoport-Luebering glycolytic shunt	3	2	1
PWY-5921	L-glutamine biosynthesis II (tRNA-dependent)	2	1	3
PWY490-4	asparagine biosynthesis III (tRNA-dependent)	3	2	7
ETHYL-PWY	ethylene biosynthesis I (plants)	3	2	10
PWY-2781	cis-zeatin biosynthesis	5	1	4
PWY-581	indole-3-acetate biosynthesis II	14	2	8
PWY-6303	methyl indole-3-acetate interconversion	2	1	1
PWY-699	brassinosteroid biosynthesis I	22	1	2
PWY-2582	brassinosteroid biosynthesis II	21	1	2
PWY-6241	thyroid hormone biosynthesis	6	4	1
PWY66-375	leukotriene biosynthesis	6	3	16
PWY66-381	glucocorticoid biosynthesis	5	1	2
PWY66-382	mineralocorticoid biosynthesis	6	1	2
PWY66-301	catecholamine biosynthesis	4	1	1
PWY66-380	estrogen biosynthesis	8	6	8
PWY66-378	androgen biosynthesis	6	1	2
PWY-7106	erythromycin D biosynthesis	4	1	14
PWY-5629	isopenicillin N biosynthesis	2	1	5
PWY1A0-6325	actinorhodin biosynthesis	12	1	2
PWY-5940	streptomycin biosynthesis	19	5	21
PWY-2301	myo-inositol biosynthesis	2	1	1
PWY-6627	salinosporamide A biosynthesis	15	2	47
PWY-6316	aromatic polyketides biosynthesis	2	1	5
PWY-735	jasmonic acid biosynthesis	19	10	32
PWY-5	canavanine biosynthesis	4	1	8
PWY-6098	diploterol and cycloartenol biosynthesis	4	1	2
PWY-7072	hopanoid biosynthesis (bacteria)	11	1	2
PWY-6575	juvenile hormone III biosynthesis I	6	1	14
PWY-6650	juvenile hormone III biosynthesis II	5	1	14
PWY-695	abscisic acid biosynthesis	5	1	8
PWY-6681	neurosporaxanthin biosynthesis	7	1	1
PWY-5288	astaxanthin biosynthesis	10	2	3
PWY-5944	zeaxanthin biosynthesis	2	1	1
PWY-6279	myxol-2' fucoside biosynthesis	5	1	1
PWY-6286	spheroidene and spheroidenone biosynthesis	6	1	1
PWY-5928	(4R)-carvone biosynthesis	3	1	1
PWY-6436	perillyl alcohol biosynthesis	5	1	1
PWY-922	mevalonate pathway I	7	2	138
PWY-5059	pinobanksin biosynthesis	4	1	1
PWY-5152	leucodelphinidin biosynthesis	5	1	3
PWY1F-823	leucopelargonidin and leucocyanidin biosynthesis	4	2	3
PWY1F-FLAVSYN	flavonoid biosynthesis	5	3	7
PWY-6515	phloridzin biosynthesis	3	1	1
PWY-5791	1,4-dihydroxy-2-naphthoate biosynthesis II (plants)	7	6	35
PWY-5168	ferulate and sinapate biosynthesis	4	1	3
PWY-5049	rosmarinic acid biosynthesis II	4	1	1
PWY-361	phenylpropanoid biosynthesis	15	2	6
PWY-5176	coumarin biosynthesis (via 2-coumarate)	5	1	9
PWY-6763	salicortin biosynthesis	11	1	1
PWY-5665	vanilla biosynthesis	3	1	6
PWY-5751	phenylethanol biosynthesis	8	2	13
PWY-5826	hypoglycin biosynthesis	12	2	15
PWY-6644	fluoroacetate and fluorothreonine biosynthesis	6	1	12
PWY-6054	dimethylsulfoniopropionate biosynthesis I (Wollastonia)	3	1	7
PWY-6055	dimethylsulfoniopropionate biosynthesis II (Spartina)	4	1	7
PWY-7054	N-acetylglutaminylglutamine amide biosynthesis	2	1	4
PWY0-662	PRPP biosynthesis I	1	1	1
PWY-6154	autoinducer AI-2 biosynthesis II (Vibrio)	6	1	1
PWY-5109	2-methylbutyrate biosynthesis	5	2	28
PWY-7052	cyanophycin metabolism	5	1	3
PWY-6936	seleno-amino acid biosynthesis	5	4	30
PWY-6840	homoglutathione biosynthesis	2	1	1
PWY-5670	epoxysqualene biosynthesis	3	2	2
PWY-6622	heptadecane biosynthesis	4	1	2
PWY-7032	alkane biosynthesis I	4	1	2
PWY-7035	(Z)-9-tricosene biosynthesis	3	1	25
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis	15	1	3
PWY-6558	heparan sulfate biosynthesis (late stages)	12	1	1
PWY-622	starch biosynthesis	6	5	36
PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)	5	3	13
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	3	3	23
PWY-2661	trehalose biosynthesis V	3	2	3
TRESYN-PWY	trehalose biosynthesis I	2	1	1
PWY-2622	trehalose biosynthesis IV	1	1	11
PWY-5983	trehalose biosynthesis VI	1	1	1
PWY-5530	sorbitol biosynthesis II	3	3	6
PWY-5659	GDP-mannose biosynthesis	4	3	26
PWY-6138	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	5	4	8
PWY-6139	CMP-N-acetylneuraminate biosynthesis II (bacteria)	3	3	8
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	4	4	35
PWY-5834	CDP-tyvelose biosynthesis	2	1	1
PWY-5833	CDP-3,6-dideoxyhexose biosynthesis	3	2	3
PWY0-1241	ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	5	3	12
PWY-3821	galactose degradation III	6	4	45
PWY-4861	UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)	1	1	2
PWY-4821	UDP-D-xylose and UDP-D-glucuronate biosynthesis	2	2	29
PWY-1269	CMP-KDO biosynthesis I	4	4	17
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	2	2	6
PWY-5739	GDP-&alpha;-D-perosamine biosynthesis	2	2	3
GLUCONEO-PWY	gluconeogenesis I	13	12	91
PWY66-399	gluconeogenesis III	13	12	73
PWY-6724	starch degradation II	9	1	12
SUCSYN-PWY	sucrose biosynthesis	10	7	55
PWY-842	starch degradation I	10	7	56
CALVIN-PWY	Calvin-Benson-Bassham cycle	13	11	60
PWY-1001	cellulose biosynthesis	1	1	2
GLYCOCAT-PWY	glycogen degradation I	7	7	53
PWY-6333	acetaldehyde biosynthesis I	2	1	14
PWY-5782	2-keto-L-gulonate biosynthesis	4	1	1
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	3	2	6
PWY-1121	suberin monomers biosynthesis	15	2	6
PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I	9	5	39
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	8	5	37
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	4	3	8
PWY-6603	dicranin biosynthesis	4	1	2
LIPASYN-PWY	phospholipases	5	4	12
PWY-6502	oxidized GTP and dGTP detoxification	4	1	3
TRNA-CHARGING-PWY	tRNA charging	20	20	207
